sample_id,shape_type,nx,ny,tau,rho0,uMax,uMean,maxSteps,coutInterval,characteristic_length,reynolds,anchor_x,anchor_y,radius,rect_x1,rect_y1,rect_x2,rect_y2,rect_width,rect_height,ellipse_rx,ellipse_ry,chord,bbox_min_x,bbox_max_x,bbox_min_y,bbox_max_y,solid_cells,solid_fraction,fx,fy,avgFx,avgFy,Cd,Cl,status,elapsed_ms
70,circle,300,80,0.78384,1,0.0691577,0.0461051,5000,1000,14,6.8222,257,22,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,250,264,15,29,36,0.0015,0.0991547,0.0254907,0.100698,0.0264688,6.76741,1.77884,ok,35895
71,circle,300,80,0.655917,1,0.0985374,0.0656916,5000,1000,12,15.1676,94,26,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,88,100,20,32,32,0.00133333,0.112511,-0.00161057,0.115175,-0.00198033,4.44822,-0.0764832,ok,36535
72,circle,300,80,0.608167,1,0.078423,0.052282,5000,1000,20,29.0008,123,55,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,113,133,45,65,52,0.00216667,0.109846,-0.00403238,0.110386,-0.00391757,4.03841,-0.143322,ok,39237
73,circle,300,80,0.91891,1,0.0110007,0.00733382,5000,1000,16,0.840331,183,52,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,175,191,44,60,40,0.00166667,0.0200375,-0.00230544,0.0202097,-0.00244356,46.9689,-5.67902,ok,39236
74,circle,300,80,0.669149,1,0.040184,0.0267893,5000,1000,20,9.50265,263,38,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,253,273,28,48,52,0.00216667,0.0563976,0.000626006,0.0572451,0.000759458,7.97655,0.105823,ok,36317
75,circle,300,80,0.904362,1,0.0820567,0.0547045,5000,1000,22,8.92888,241,52,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,230,252,41,63,56,0.00233333,0.295758,-0.0768885,0.301096,-0.0787691,9.14674,-2.39286,ok,35691
76,circle,300,80,0.733305,1,0.0787435,0.0524957,5000,1000,20,13.5005,159,54,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,149,169,44,64,52,0.00216667,0.172054,-0.034585,0.170354,-0.0332107,6.18167,-1.20512,ok,36458
77,circle,300,80,0.796914,1,0.0780452,0.0520302,5000,1000,18,9.46278,83,64,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,74,92,55,73,48,0.002,0.12638,-0.0609007,0.125065,-0.0612174,5.13313,-2.51259,ok,36144
78,circle,300,80,0.827882,1,0.0621224,0.0414149,5000,1000,26,9.85221,71,52,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,58,84,39,65,68,0.00283333,0.237394,-0.0841926,0.233152,-0.0831332,10.4564,-3.72835,ok,39752
79,circle,300,80,0.618476,1,0.0600091,0.0400061,5000,1000,26,26.3385,145,37,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,132,158,24,50,68,0.00283333,0.118051,0.00188819,0.118176,0.00033915,5.67982,0.0163003,ok,36230
80,circle,300,80,0.629785,1,0.110331,0.073554,5000,1000,18,30.6038,234,31,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,225,243,22,40,48,0.002,0.19396,-0.00266449,0.195708,-0.00531181,4.01933,-0.109091,ok,39621
81,circle,300,80,0.82415,1,0.0496154,0.0330769,5000,1000,14,4.28576,201,45,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,194,208,38,52,36,0.0015,0.0889948,-0.00588317,0.0889456,-0.00606071,11.6138,-0.791361,ok,39693
82,circle,300,80,0.919136,1,0.0148344,0.00988962,5000,1000,26,1.84043,216,22,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,203,229,9,35,68,0.00283333,0.0378963,0.00762864,0.0397393,0.00838426,31.2548,6.5942,ok,36380
83,circle,300,80,0.604377,1,0.114796,0.0765305,5000,1000,22,48.392,130,56,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,119,141,45,67,56,0.00233333,0.212323,0.000224517,0.226844,-0.00107533,3.52099,-0.0166908,ok,36550
84,circle,300,80,0.626376,1,0.0911551,0.0607701,5000,1000,16,23.0816,82,34,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,74,90,26,42,40,0.00166667,0.134635,-0.00258869,0.13621,-0.00324982,4.61042,-0.109999,ok,36712
85,circle,300,80,0.775647,1,0.0869094,0.0579396,5000,1000,24,15.134,227,44,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,215,239,32,56,64,0.00266667,0.296123,-0.0109251,0.303155,-0.011074,7.52546,-0.2749,ok,36645
86,circle,300,80,0.603374,1,0.0773934,0.0515956,5000,1000,18,26.9523,227,53,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,218,236,44,62,48,0.002,0.0995768,-0.00474846,0.0943373,0.000368381,3.93746,0.0153755,ok,35872
87,circle,300,80,0.880621,1,0.113297,0.0755311,5000,1000,28,16.6691,174,59,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,160,188,45,73,76,0.00316667,0.525529,-0.263571,0.551585,-0.281673,6.90609,-3.52667,ok,36407
88,circle,300,80,0.913863,1,0.0928908,0.0619272,5000,1000,16,7.18235,187,51,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,179,195,43,59,40,0.00166667,0.253037,-0.0330336,0.257965,-0.0332924,8.40831,-1.08516,ok,39674
89,circle,300,80,0.678339,1,0.0750177,0.0500118,5000,1000,28,23.5562,189,35,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,175,203,21,49,76,0.00316667,0.250567,0.0016217,0.237724,0.00634515,6.78889,0.181204,ok,39743
90,circle,300,80,0.881873,1,0.118996,0.0793308,5000,1000,22,13.7109,223,37,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,212,234,26,48,56,0.00233333,0.5229,0.00654012,0.537573,0.0065139,7.76535,0.0940946,ok,36513
91,circle,300,80,0.836892,1,0.0710814,0.0473876,5000,1000,16,6.75173,69,54,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,61,77,46,62,40,0.00166667,0.151175,-0.0351493,0.151926,-0.0350649,8.45696,-1.95188,ok,37005
92,circle,300,80,0.934108,1,0.100235,0.0668231,5000,1000,18,8.31232,198,51,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,189,207,42,60,48,0.002,0.332024,-0.0534063,0.339305,-0.0538212,8.44295,-1.33924,ok,36253
93,circle,300,80,0.803459,1,0.0582691,0.038846,5000,1000,16,6.14453,73,32,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,65,81,24,40,40,0.00166667,0.116642,0.010187,0.11724,0.0100093,9.71162,0.829127,ok,36579
94,circle,300,80,0.758921,1,0.0650597,0.0433731,5000,1000,22,11.056,203,39,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,192,214,28,50,56,0.00233333,0.173712,0.000762184,0.172699,0.000754612,8.34557,0.0364661,ok,39416
95,circle,300,80,0.736073,1,0.112435,0.0749569,5000,1000,26,24.7662,169,20,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,156,182,7,33,68,0.00283333,0.35501,0.162521,0.37507,0.172106,5.13505,2.35629,ok,36795
96,circle,300,80,0.833861,1,0.0588327,0.0392218,5000,1000,14,4.93414,79,20,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,72,86,13,27,36,0.0015,0.0869258,0.0295133,0.0876251,0.029852,8.13721,2.77217,ok,39155
97,circle,300,80,0.814042,1,0.0692575,0.0461717,5000,1000,28,12.35,249,47,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,235,263,33,61,76,0.00316667,0.303856,-0.0572942,0.315576,-0.0577967,10.5736,-1.93653,ok,40141
98,circle,300,80,0.685348,1,0.0810992,0.0540661,5000,1000,28,24.5028,261,33,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,247,275,19,47,76,0.00316667,0.256105,0.0147113,0.274808,0.0142255,6.71507,0.347607,ok,36735
99,circle,300,80,0.913024,1,0.0976748,0.0651165,5000,1000,22,10.4054,116,31,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,105,127,20,42,56,0.00233333,0.404829,0.0494052,0.41178,0.0486323,8.82857,1.04268,ok,36738
100,circle,300,80,0.886035,1,0.108599,0.0723992,5000,1000,20,11.2527,161,40,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,151,171,30,50,52,0.00216667,0.412232,-0.00148314,0.420404,-0.00142017,8.02046,-0.027094,ok,37183
1,circle,300,80,0.710558,1,0.0586286,0.0390857,5000,1000,12,6.68266,146,63,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,140,152,57,69,32,0.00133333,0.0463586,-0.0167011,0.0463305,-0.0172352,5.05451,-1.8803,ok,89460
2,circle,300,80,0.821917,1,0.0650122,0.0433414,5000,1000,24,9.69376,57,24,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,69,12,36,64,0.00266667,0.210051,0.0878707,0.211424,0.0884387,9.3792,3.92332,ok,86293
3,circle,300,80,0.878082,1,0.0475904,0.0317269,5000,1000,24,6.04192,163,39,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,151,175,27,51,64,0.00266667,0.17899,0.00234726,0.179203,0.00240052,14.8357,0.198732,ok,86159
4,circle,300,80,0.667204,1,0.0982975,0.0655317,5000,1000,24,28.2187,185,33,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,173,197,21,45,64,0.00266667,0.280147,0.00227869,0.267508,0.00105682,5.19102,0.0205076,ok,86607
5,circle,300,80,0.725859,1,0.0903036,0.0602024,5000,1000,18,14.3936,225,27,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,216,234,18,36,48,0.002,0.184459,0.0153752,0.185893,0.0142466,5.69893,0.436759,ok,86615
6,circle,300,80,0.642421,1,0.0414227,0.0276151,5000,1000,18,10.4705,196,41,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,187,205,32,50,48,0.002,0.0524706,-0.000148266,0.0500424,-0.000418611,7.29123,-0.0609921,ok,86683
7,circle,300,80,0.933407,1,0.08899,0.0593267,5000,1000,22,9.03437,255,45,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,244,266,34,56,56,0.00233333,0.375175,-0.0303084,0.384752,-0.0305399,9.93776,-0.788814,ok,86780
8,circle,300,80,0.693378,1,0.0599581,0.0399721,5000,1000,20,12.4023,220,31,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,210,230,21,41,52,0.00216667,0.10938,0.00816298,0.108351,0.00722265,6.78141,0.452047,ok,86699
9,circle,300,80,0.681843,1,0.0545846,0.0363897,5000,1000,24,14.4083,267,57,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,255,279,45,69,64,0.00266667,0.0913214,-0.0382368,0.0965115,-0.0408984,6.07351,-2.57376,ok,86905
10,circle,300,80,0.580842,1,0.0550548,0.0367032,5000,1000,26,35.4127,222,58,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,209,235,45,71,68,0.00283333,0.062756,-0.0291397,0.0690367,-0.0268233,3.94212,-1.53165,ok,87155
11,circle,300,80,0.928529,1,0.0562674,0.0375116,5000,1000,26,6.82779,265,52,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,252,278,39,65,68,0.00283333,0.232234,-0.0784932,0.237568,-0.0813144,12.9871,-4.44522,ok,87414
12,circle,300,80,0.907312,1,0.078979,0.0526527,5000,1000,28,10.8586,216,31,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,202,230,17,45,76,0.00316667,0.447035,0.103103,0.455604,0.105503,11.7386,2.71828,ok,87024
13,circle,300,80,0.702467,1,0.0496673,0.0331115,5000,1000,14,6.8687,269,29,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,262,276,22,36,36,0.0015,0.0576926,0.00504699,0.0582496,0.00493487,7.58991,0.643012,ok,86909
14,circle,300,80,0.959869,1,0.0800734,0.0533823,5000,1000,16,5.57191,122,50,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,114,130,42,58,40,0.00166667,0.225781,-0.0348034,0.230313,-0.0349747,10.1026,-1.53416,ok,87421
15,circle,300,80,0.912198,1,0.0612241,0.0408161,5000,1000,24,7.12947,91,20,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,79,103,8,32,64,0.00266667,0.183196,0.0789597,0.179761,0.0807876,8.99191,4.04111,ok,87832
16,circle,300,80,0.759646,1,0.0608399,0.04056,5000,1000,22,10.31,227,26,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,216,238,15,37,56,0.00233333,0.140058,0.0379213,0.140512,0.0393203,7.7647,2.17284,ok,88114
17,circle,300,80,0.81801,1,0.0405396,0.0270264,5000,1000,14,3.56941,215,37,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,208,222,30,44,36,0.0015,0.0691754,0.0024651,0.0691372,0.00249889,13.5219,0.488734,ok,88649
18,circle,300,80,0.656543,1,0.0963004,0.0642003,5000,1000,20,24.6067,113,30,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,103,123,20,40,52,0.00216667,0.195226,-9.06938e-05,0.19657,-0.00111473,4.76919,-0.0270455,ok,88066
